model,mae,mse,rmse,r2
Ridge,27.669784051900894,3571.030841800999,59.758102729261736,0.5651148532026178
Random Forest,53.795776359788604,7590.948158355884,87.12604753089562,0.07556368163064997
Decision Tree,43.4289456103036,7682.577652592462,87.65031461776086,0.06440491324769548
